1585717500,6341.99625451,6319.83159046,6329.85366815
1585717800,6321.57408453,6323.61070912,6323.70424433
1585718100,6323.53797192,6322.22032874,6321.3390123
1585718400,6322.22032874,6327.9817272,6323.85702982
1585718700,6327.82090067,6333.77760075,6328.51565502
1585719000,6333.77760075,6323.48349254,6325.56937954
1585719300,6322.74519303,6315.01648513,6319.06860812
1585719600,6314.98011379,6312.43285226,6309.63553301
1585719900,6312.74862533,6309.23602547,6314.07446144
1585720200,6308.92056494,6295.85389308,6301.55912058
1585720500,6296.01109064,6306.85908461,6300.4846229
1585720800,6306.85908461,6310.10934398,6305.48284258
1585721100,6311.46873527,6304.81524717,6308.77220878
1585721400,6304.81524717,6291.5616364,6292.58533332
1585721700,6292.00500342,6285.00926078,6284.71034121
1585722000,6285.00926078,6299.0773394,6293.6489923
1585722300,6299.0773394,6302.36943324,6300.40876655
1585722600,6302.05406262,6300.98308975,6303.8468601
1585722900,6299.72239717,6306.83823886,6299.00114918
1585723200,6306.83823886,6321.44087908,6312.09362189
1585723500,6320.00004777,6311.96834024,6318.17583682
1585723800,6311.02057473,6297.87725952,6306.64099096
1585724100,6297.56233485,6300.0,6299.80916773
1585724400,6300.0,6290.05977028,6294.78621275
1585724700,6291.00375505,6313.15607949,6304.5853181
1585725000,6313.78801209,6315.80474292,6317.08971056
1585725300,6315.52427642,6312.62723053,6311.2374749
1585725600,6312.62723053,6314.46757142,6316.84518944
1585725900,6314.46757143,6327.28811336,6326.52746498
1585726200,6327.28713763,6327.64701866,6327.85350984
1585726500,6327.64701866,6334.97722031,6328.19059697
1585726800,6336.89337656,6334.0951063,6334.96246585
1585727100,6334.0951363,6322.95958396,6325.51462723
1585727400,6321.83941167,6330.51360757,6327.37653256
1585727700,6330.51312866,6330.0,6327.35094122
1585728000,6330.00000001,6312.48011167,6312.87787967
1585728300,6312.1642991,6305.09634921,6303.85693099
1585728600,6305.01739332,6305.41997995,6309.79656539
1585728900,6305.10472291,6315.0622036,6307.60885849
1585729200,6314.56322069,6305.86647468,6307.42854456
1585729500,6305.86647467,6299.99999999,6296.21394085
1585729800,6299.99999999,6305.88330554,6302.57394733
1585730100,6307.32438241,6290.58808551,6296.61356463
1585730400,6290.58808551,6307.25786087,6302.95349506
1585730700,6308.5,6309.87220942,6308.19259212
1585731000,6309.87220942,6302.20896442,6308.62908101
1585731300,6304.42999799,6307.48421872,6307.18041907
1585731600,6307.48384335,6297.86341123,6307.96292992
1585731900,6297.86341123,6292.10777136,6291.53299079
1585732200,6292.73706868,6284.32833799,6292.48234761
1585732500,6283.38503095,6293.48125248,6289.73048105
1585732800,6293.16655388,6302.3549933,6295.83541009
1585733100,6306.85367605,6303.0,6303.94510983
1585733400,6303.00000001,6291.19274293,6295.65433095
1585733700,6291.32139543,6290.0,6291.72487843
1585734000,6289.05634221,6276.79972799,6280.68940617
1585734300,6276.0,6295.31687037,6279.53876956
1585734600,6298.87985621,6290.63742609,6288.72457044
1585734900,6290.40638452,6299.95969781,6291.68113585
1585735200,6299.95969781,6295.54509029,6294.53577971
1585735500,6294.17140067,6298.89495357,6298.84301509
1585735800,6298.89495357,6300.0,6302.56845609
1585736100,6299.99999999,6303.04506529,6300.45781824
1585736400,6303.04506529,6301.29531725,6301.03162629
1585736700,6301.29531725,6311.94440049,6304.7037524
1585737000,6311.94440049,6313.40219262,6314.97298143
1585737300,6313.39384249,6301.4922592,6304.29907726
1585737600,6301.17721715,6298.25435334,6299.1682672
1585737900,6297.93931826,6293.74123554,6300.56616383
1585738200,6292.48293027,6292.10000001,6295.6811199
1585738500,6290.99200058,6291.77680805,6290.36832987
1585738800,6291.77680805,6283.67980944,6287.16848133
1585739100,6283.67980944,6284.70073059,6287.27574032
1585739400,6283.88629733,6288.74459456,6283.63738521
1585739700,6289.36193644,6275.0,6281.75846935
1585740000,6274.37254967,6281.99499999,6277.47892291
1585740300,6281.99499998,6287.96669479,6283.11268574
1585740600,6287.96669479,6292.39311176,6290.70592951
1585740900,6292.71931692,6298.42484651,6295.04786678
1585741200,6298.10986478,6296.49128057,6298.40363684
1585741500,6296.17628246,6293.21843784,6293.56921218
1585741800,6293.21843784,6287.21857258,6292.01170798
1585742100,6286.90426711,6294.27388499,6288.32425096
1585742400,6297.81168047,6318.71965868,6322.11794323
1585742700,6318.71965868,6225.88611488,6256.12434873
1585743000,6230.82852272,6222.19510636,6240.84521869
1585743300,6226.84994226,6242.19165293,6234.1375082
1585743600,6243.75300791,6231.30418634,6236.12249475
1585743900,6231.30430287,6234.20300765,6237.63472623
1585744200,6234.06131681,6230.0141009,6234.44381615
1585744500,6228.68813495,6236.31618164,6236.11942081
1585744800,6236.00420354,6243.13257124,6237.48416789
1585745100,6244.69395819,6237.78471807,6241.14767008
1585745400,6237.0592001,6226.57869608,6235.84625427
1585745700,6229.32153621,6219.91183297,6221.64847332
1585746000,6219.91183297,6233.063256,6226.62032476
1585746300,6233.06325601,6229.94641309,6235.01590027
1585746600,6229.9462792,6225.09546912,6227.26236263
1585746900,6225.09546912,6227.92850311,6229.93902602
1585747200,6227.92850311,6224.05304708,6227.21579846
1585747500,6224.05304707,6231.36115896,6230.30908366
1585747800,6231.36115896,6220.15304379,6234.24009479
1585748100,6220.15281316,6196.11801999,6190.71298793
1585748400,6197.47470578,6210.23053956,6202.73856084
1585748700,6207.61240372,6204.54987687,6202.92344875
1585749000,6201.29747372,6206.39787234,6208.03948541
1585749300,6206.39783895,6207.88162036,6206.34272347
1585749600,6207.88162036,6208.5959739,6206.78619121
